action_id	action_date	action_type	action_label_raw	generated_statement	source_url	source_title	review_status	reviewer	reviewer_notes	reviewed_at
170eee22017c	2024-04-01	other	Approved the institution’s Teach-Out Agreement with Goddard College, wherein Prescott College will serve as a teach-out receiving institution for certain Goddard College programs. (Approved April 19, 2024)	Approved the institution's teach-out agreement with Goddard College	https://www.hlcommission.org/for-students/accreditation-actions/april-2024/	April 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
1c6e1d3fd626	2024-10-01	other	Approved the institution’s provisional plan to teach out students enrolled in the Bachelor of Arts in Biblical and Theological Studies, Bachelor of Arts in Child Development, Bachelor of Science in Secondary Education, and Master of Arts in Education, including the teach-out agreement with Houston Christian University.	Approved provisional plan and teach-out agreements	https://www.hlcommission.org/for-students/accreditation-actions/october-2024/	October 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
8a11e15f5a3d	2024-08-01	other	Approved the institution’s Provisional Plan to teach out students enrolled in the Certificate and Associate of Applied Science in Emergency Management Services, including the teach-out agreement with New York Institute of Technology College of Osteopathic Medicine.	Approved provisional plan and teach-out agreements	https://www.hlcommission.org/for-students/accreditation-actions/august-2024/	August 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
30341c934c39	2024-04-01	other	Approved the institution’s Teach-Out Agreement with Birmingham-Southern College, wherein Hendrix College will serve as a teach-out receiving institution for certain Birmingham-Southern College programs. (Approved April 19, ,2024)	Approved the institution's teach-out agreement with Birmingham-Southern College	https://www.hlcommission.org/for-students/accreditation-actions/april-2024/	April 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
40f3e99d9774	2026-02-01	warning	Following a Special Visit – Remove Notice of Concern/Issue a Warning	Removed Notice of Concern and issued a Warning because it is out of compliance with standards concerning student completion and resource planning	https://www.wscuc.org/post/february-2026-commission-actions/	February 2026 Commission Actions - WSCUC	approved	MV		2026-06-05
fbe3eff8ef26	2024-06-01	notice	Following a Special Visit – Remove the Warning, Issue a Formal Notice of Concern, Reaffirm Accreditation for 6 Years	Removed the warning, issued a formal notice of concern, and reaffirmed accreditation for 6 years	https://www.wscuc.org/post/june-2024-commission-actions/	June 2024 Commission Actions - WSCUC	approved	MV		2026-06-05
f1e78c4125da	2024-06-28	warning	At that meeting, the Commission acted to remove a Show Cause Order and impose a Warning.	Removed Show Cause and issued a Warning because it has not demonstrated compliance with Standard 3, CFR 3.4 on financial sustainability and resource planning	https://ope.ed.gov/dapip/#/institution-profile/103404	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
2deeb599de4a	2024-06-01	removed	Following a Special Visit – Remove the Warning, Reaffirm Accreditation for 6 Years	Removed the warning and reaffirmed accreditation for 6 years	https://www.wscuc.org/post/june-2024-commission-actions/	June 2024 Commission Actions - WSCUC	approved	MV		2026-06-05
fdc761fd29c5	2024-06-01	other	Approved the institution’s Teach-Out Agreement with Goddard College, wherein Naropa University will serve as a teach-out receiving institution for Goddard University students. (Approved June 10, 2024)	Approved the institution's teach-out agreement with Goddard College	https://www.hlcommission.org/for-students/accreditation-actions/june-2024/	June 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
7b52d32e5b1c	2025-12-07	probation	McCormick: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees placed the institution on Probation for Good Cause. For twelve months for failure to comply with Standard 13.3 (Financial responsibility), Standard 13.4 (Control of finances), and Standard 13.6 (Federal and state responsibilities).	Placed on probation for good cause for twelve months for failure to comply with Standard 13.3 (Financial responsibility), Standard 13.4 (Control of finances), and Standard 13.6 (Federal and state responsibilities)	https://ope.ed.gov/dapip/#/institution-profile/109448	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
570969f24783	2023-12-03	probation	Dadez: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 3, 2023: The SACSCOC Board of Trustees reviewed a Second Monitoring Report following action on reaffirmation of accreditation in December 2021.	Placed on probation for failure to comply with Standard 13.3 (Financial responsibility)	https://ope.ed.gov/dapip/#/institution-profile/110316	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
127607e458a3	2022-10-01	other	Approved the institution’s provisional teach-out plan of students enrolled in the Bachelor of Science in Dental Health Program.	Approved the institution’s provisional teach-out plan of students enrolled in the Bachelor of Science in Dental Health Program.	https://www.hlcommission.org/for-students/accreditation-actions/october-2022/	October 2022 Actions | The Higher Learning Commission	approved	MV		2026-06-05
a047bc3e7d0a	2025-12-01	other	Approved the institution’s provisional plan and teach-out agreement with the following institution: University of Indianapolis, Indianapolis, IN	Approved provisional plan and teach-out agreement with University of Indianapolis	https://www.hlcommission.org/for-students/accreditation-actions/december-2025-actions/	December 2025 Actions | The Higher Learning Commission	approved	MV		2026-06-05
f586fda16bc8	2024-11-01	other	Approved the institution’s provisional plan to teach out students enrolled in the Doctor of Occupational Therapy.	Approved the institution’s provisional plan to teach out students enrolled in the Doctor of Occupational Therapy.	https://www.hlcommission.org/for-students/accreditation-actions/november-2024/	November 2024 Actions | The Higher Learning Commission	approved	MV		2026-06-05
281cae23d42a	2019-02-28	removed	Comprehensive Evaluation: The Institution has been maintained on the Standard Pathway with its next comprehensive evaluation for reaffirmation of accreditation in 2019-20.	Warning removed	https://ope.ed.gov/dapip/#/institution-profile/116493	DAPIP Institutional Accreditation Action	reject	MV	Procedural pathway language, not a warning-removal action.	2026-06-05
1ba55cb63a5b	2019-11-07	notice	Summary of the Action: The Institution has been placed on Notice because it is at risk of being out of compliance with the Criteria for Accreditation.	Placed on Notice because the institution is at risk of being out of compliance with Core Components 4.B, 5.A, and 5.C.	https://ope.ed.gov/dapip/#/institution-profile/116642	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
caf264231cce	2025-12-07	probation	Akakpo: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees placed the institution on Probation for Good Cause. For twelve months for failure to comply with Standard 13.6 (Federal and state responsibilities).	Placed on probation for good cause for twelve months for failure to comply with Standard 13.6 (Federal and state responsibilities)	https://ope.ed.gov/dapip/#/institution-profile/117706	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
2d6dbe7b1b27	2019-01-04	other	To approve the teachout plan for Quality Leadership University, Calle 45, Bella Vista, Panama City, Panama. The Commission requires notification within thirty days of the closure of this additional location.	Approved Teach-Out Plan (Quality Leadership University, Calle 45, Bella Vista, Panama City, Panama)	https://www.msche.org/institution/0180/	MSCHE Statement of Accreditation Status - Towson University	approved	MV		2026-06-05
8608972632f5	2021-04-20	notice	At its meeting on March 5, 2021, the New England Commission of Higher Education (NECHE) voted to issue a Notation to Eastern Nazarene College (ENC) because the Commission found that the College is in danger of not meeting the Commission’s standard on Institutional Resources.	Received a notation over Institutional Resources concerns	https://www.neche.org/commission-statements/joint-statement-by-eastern-nazarene-college-and-the-commission-april-20-2021/	Joint Statement by Eastern Nazarene College and the Commission, April 20, 2021	approved	MV		2026-06-05
1d133c03a249	2019-06-27	removed	Comprehensive Evaluation: The Board maintained the Institution on the Standard Pathway with its next comprehensive evaluation for reaffirmation of accreditation in 2022-23.	Warning removed	https://ope.ed.gov/dapip/#/institution-profile/123059	DAPIP Institutional Accreditation Action	reject	MV	Procedural pathway language, not a warning-removal action.	2026-06-05
80147c7484ff	2019-11-07	removed	Resources appear to be sufficient to support operations and deliver educational programs, but continued progress and improvement is needed.	Warning removed	https://ope.ed.gov/dapip/#/institution-profile/126401	DAPIP Institutional Accreditation Action	reject	MV	Narrative resources statement does not support warning removed.	2026-06-05
8e3a3d03fe15	2023-12-03	probation	Farmbry: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 3, 2023: The SACSCOC Board of Trustees reviewed a Second Monitoring Report following action on a Special Report following receipt of unsolicited information from media sources.	Placed on probation for failure to comply with Standard 13.3 (Financial responsibility)	https://ope.ed.gov/dapip/#/institution-profile/133508	DAPIP Institutional Accreditation Action	approved	MV		2026-06-05
