cut_id,unitid,institution_name,badge_kind,announcement_date,source_url,evidence_text,flag_confirmed,notes,first_seen
701fb2fc-1071-4753-b37b-e5beb9bcee14,164492,Anna Maria College,closure,2026-04-24,https://www.highereddive.com/news/anna-maria-college-massachusetts-closure/818492/,Governing board voted to permanently close at end of spring 2026 term.,TRUE,,2026-07-14
7fd5cebe-0d57-43e9-8e77-5cf572afa8fd,166018,Hampshire College,closure,2026-03-14,https://www.amherstindy.org/2026/04/14/hampshire-college-to-close-permanently-at-years-end/,"Board of Trustees voted to permanently close the college at the end of Fall 2026. Announced by President Jennifer Chrisler on March 14, 2026. Driven by $20M+…",TRUE,,2026-07-14
7f372b93-9079-432c-bbfd-3b264318e655,203757,Lourdes University,closure,2026-02-11,https://www.wtol.com/article/news/local/lourdes-university-387-employees-to-lose-jobs-permanent-closure/512-a4e5f0bc-ad9c-4adf-b694-a64c2ca4c6f1,"387 total employees losing jobs via WARN filing: 26 assistant professors, 106 adjuncts, 14 head coaches, ~31 federal work-study students, ~49 student…",TRUE,,2026-07-14
8693231e-a88f-4fb0-b9ef-82f032c33952,455770,Providence Christian College,closure,2026-02-07,https://www.providencecc.edu/announcement/,"Board of Trustees voted February 7, 2026 to cease academic operations at end of 2025-2026 academic year.",TRUE,,2026-07-14
7ed928be-cea6-49e5-bf0d-21ed03f01aee,151810,Martin University,closure,2025-12-09,https://www.wthr.com/article/news/education/martin-university-pausing-operations-end-2025-semester-college-indianapolis/531-de213904-c26d-443e-a54c-b62bebd2a2ea,Institution closing,TRUE,,2026-07-14
f2b49142-2bd8-4964-a339-f4c9dd13fc47,231095,Sterling College,closure,2025-11-12,https://www.insidehighered.com/news/quick-takes/2025/11/14/vermonts-sterling-college-close,100% environmentally-focused work college closing after 65+ years due to enrollment declines (38% drop 2021-2023) and persistent financial challenges.,TRUE,,2026-07-14
772b6502-6c03-4ba8-a141-b285433d6093,149505,Trinity Christian College,closure,2025-11-06,https://patch.com/illinois/palos/shock-resignation-sadness-wake-trinity-christian-colleges-closure,The college announced it will close after the 2025–26 academic year due to financial challenges leaving 107 staff out of work and hundreds of students to…,TRUE,,2026-07-14
79602a45-bd21-4aac-95d6-5644f5aae297,172264,Siena Heights University,closure,2025-06-30,https://universitybusiness.com/tracking-college-closings-in-higher-ed-2025/,Closure due to financial instability from declining enrollment (33% drop over a decade) and rising operational costs.,TRUE,,2026-07-14
7afa740b-587a-4628-b510-4e717d04db73,218238,Limestone University,closure,2025-04-29,https://apnews.com/d4851555bd0fb360a92dee84a2d93140,"Board of Trustees voted April 29, 2025 to close after nearly 180 years, citing an unresolvable $6M budget shortfall.",TRUE,,2026-07-14
83c258a4-d765-4b4f-94e3-9f0fa744fc5a,199698,St. Andrews University,absorption,2025-04-25,https://www.theassemblync.com/education/higher-education/st-andrews-laurinburg-nc-remains/,"Financial crisis led to permanent closure of Presbyterian university founded in 1958, merged with Webber International University in 2011 but could not sustain…",TRUE,,2026-07-14
2e89eb78-9eab-4870-9de4-5fd6eea4738a,235024,Cornish College of the Arts,absorption,2025-03-27,https://www.kiro7.com/news/local/hundreds-cornish-college-arts-employees-receive-layoff-notices/JFFK6CUWKZB5BBW45S4L23RVC4/,Cornish College absorbed by Seattle University; all 354 employees laid off with potential rehiring by Seattle U,TRUE,,2026-07-14
c6078a58-57b7-4aa5-94a5-10216d4ba0f1,239512,Northland College,closure,2025-02-19,https://www.insidehighered.com/news/quick-takes/2025/02/20/northland-college-announces-closure,Board unanimously voted to close due to insurmountable financial challenges and declining enrollment.,TRUE,,2026-07-14
e35d0ad7-036f-409d-8420-f7f96b37be90,165644,Eastern Nazarene College,closure,2024-06-25,https://www.highereddive.com/news/eastern-nazarene-college-in-massachusetts-to-close/719969/,"Closure due to financial deficits and enrollment declines, with phased cessation of academic activities through May 2025.",TRUE,,2026-07-14
42787cd6-75a7-4f81-96f4-fbb1fd985836,195234,The College of Saint Rose,closure,2024-06-21,https://www.highereddive.com/news/the-college-of-saint-rose-close-spring-2024-end-of-academic-year/701349/,"103-year-old Catholic college closed due to financial difficulties and declining enrollment, with $11.3M projected deficit",TRUE,,2026-07-14
5d923f9f-6443-4d1c-898c-e8b0f936fc6f,177418,Fontbonne University,closure,2024-03-11,https://apnews.com/c2397d8ff4120d4533bc08c16dfb15a3,Institution closure,TRUE,,2026-07-14
